"","participante","Já.realizou.alguma.pesquisa.sobre.simbolismo.sonoro.","Já.participou.de.algum.experimento.relacionado.a.dar.nomes.a.Pokémons.","nome","tipo","pokemon","transcript","mantem"
"331","pl19","Não","Não","canhaozinhonv","evil","Dijale","di-'Za-le","sim"
"332","pl20","Não","Não","canhaozinhonv","evil","Canou","ka-'now","sim"
"333","pl21","Não","Não","canhaozinhonv","evil","Volebom","vo-'le-b~o","sim"
"334","pl22","Não","Não","canhaozinhonv","evil","Tatubomba","ta-tu-'b~o-ba","nao"
"335","pl23","Não","Não","canhaozinhonv","evil","Bombardrill","b~o-baR-'driw","nao"
"336","pl24","Não","Não","canhaozinhonv","evil","Druckol","dru-'kow","nao"
"337","pl25","Não","Não","canhaozinhonv","evil","babadunco","ba-ba-'d~u-ko","sim"
"338","pl26","Não","Não","canhaozinhonv","evil","Bomfa","b~o-fa","sim"
"339","pl1","Não","Não","lobinhonv","evil","Nulu","nu-'lu","sim"
"340","pl2","Não","Não","lobinhonv","evil","Lutare","lu-'ta-re","sim"
"341","pl3","Não","Não","lobinhonv","evil","Glarien","gla-'ri-~e","sim"
"342","pl4","Não","Não","lobinhonv","evil","tigarei","ti-ga-'rej","sim"
"343","pl5","Não","Não","lobinhonv","evil","Uni nati","u-'ni na-'ti","nao"
"344","pl6","Não","Não","lobinhonv","evil","Lobaure","lo-'baw-re","nao"
"345","pl7","Não","Não","lobinhonv","evil","Andecil","~a-de-'siw","sim"
"346","pl8","Não","Não","lobinhonv","evil","Lobo-mag","lo-bo 'ma-gi","nao"
"347","pl9","Não","Não","lobinhonv","evil","Cafenozi","ka-fe-no-'zi","nao"
"348","pl10","Não","Não","lobinhonv","evil","Electroimpiedoso","e-le-ki-tro-~i-pi-e-'do-zo","nao"
"349","pl11","Não","Não","lobinhonv","evil","Hyemad","ie-'ma-di","nao"
"350","pl12","Não","Não","lobinhonv","evil","Lepcap","le-pi-'ka-pi","nao"
"351","pl13","Não","Não","lobinhonv","evil","Lione","li-'o-ne","nao"
"352","pl14","Não","Não","lobinhonv","evil","Azulmultal","a-zuw-muw-'taw","nao"
"353","pl15","Não","Não","lobinhonv","evil","Loácido","lo-'a-si-do","nao"
"354","pl16","Não","Não","lobinhonv","evil","Cavablue","ka-va-'blu-e","nao"
"355","pl17","Não","Não","lobinhonv","evil","Obst","o-bis-ti","nao"
"356","pl18","Não","Não","lobinhonv","evil","Un","~u","sim"
"357","pl19","Não","Não","lobinhonv","evil","Anedur","a-ne-'duR","sim"
"358","pl20","Não","Não","lobinhonv","evil","Zukind","zu-'k~i-di","nao"
"359","pl21","Não","Não","lobinhonv","evil","Koleom","ko-'le-~o","sim"
"360","pl22","Não","Não","lobinhonv","evil","Hiverna","i-'veR-na","sim"
"361","pl23","Não","Não","lobinhonv","evil","Carmeúna","kaR-me-'u-na","sim"
"362","pl24","Não","Não","lobinhonv","evil","Hofguq","o-fi-'gu-q","nao"
"363","pl25","Não","Não","lobinhonv","evil","ianci","i-~a-'si","sim"
"364","pl26","Não","Não","lobinhonv","evil","Erveristo","eR-ve-'ris-to","sim"
"365","pl1","Não","Não","franjinhav","voador","Velta","vew-ta","sim"
"366","pl2","Não","Não","franjinhav","voador","Arsel","aR-'sew","sim"
"367","pl3","Não","Não","franjinhav","voador","Vipago","vi-'pa-go","sim"
"368","pl4","Não","Não","franjinhav","voador","patabu","pa-ta-'bu","sim"
"369","pl5","Não","Não","franjinhav","voador","Plaira","plaj-ra","sim"
"370","pl6","Não","Não","franjinhav","voador","Avodão","a-vo-'d~aw","nao"
"371","pl7","Não","Não","franjinhav","voador","Surimor","su-ri-'moR","sim"
"372","pl8","Não","Não","franjinhav","voador","Relevx","he-le-'v-S","nao"
"373","pl9","Não","Não","franjinhav","voador","Retoluni","he-to-lu-'ni","sim"
"374","pl10","Não","Não","franjinhav","voador","Penallowblue","pe-na-lo-'wblu-e","nao"
"375","pl11","Não","Não","franjinhav","voador","Ninebat","ni-ne-'ba-ti","nao"
"376","pl12","Não","Não","franjinhav","voador","Bluzce","blus-se","nao"
"377","pl13","Não","Não","franjinhav","voador","Marjo","maR-Zo","sim"
"378","pl14","Não","Não","franjinhav","voador","Asacalopi","a-za-ka-lo-'pi","sim"
"379","pl15","Não","Não","franjinhav","voador","Avártico","a-'vaR-ti-ko","nao"
"380","pl16","Não","Não","franjinhav","voador","Asavelim","a-za-ve-'l~i","sim"
"381","pl17","Não","Não","franjinhav","voador","Froyor","frojoR","sim"
"382","pl18","Não","Não","franjinhav","voador","Flin","fl~i","sim"
"383","pl19","Não","Não","franjinhav","voador","Colote","ko-'lo-te","sim"
"384","pl20","Não","Não","franjinhav","voador","Termaflor","teR-ma-'floR","nao"
"385","pl21","Não","Não","franjinhav","voador","Marvebate","maR-ve-'ba-te","sim"
"386","pl22","Não","Não","franjinhav","voador","Nuvemcego","nu-v~e-'se-go","nao"
"387","pl23","Não","Não","franjinhav","voador","Venpora","v~e-'po-ra","sim"
"388","pl24","Não","Não","franjinhav","voador","Twej","twe-j","nao"
"389","pl25","Não","Não","franjinhav","voador","Estrix","es-triS","sim"
"390","pl26","Não","Não","franjinhav","voador","Tuca","tu-ka","sim"
"391","pl1","Não","Não","escurinhov","voador","Piau","pi-'aw","sim"
"392","pl2","Não","Não","escurinhov","voador","Pepe","pe-pe","nao"
"393","pl3","Não","Não","escurinhov","voador","Zuzi","zu-'zi","sim"
"394","pl4","Não","Não","escurinhov","voador","pituval","pi-tu-'vaw","sim"
"395","pl5","Não","Não","escurinhov","voador","Fikito","fi-'ki-to","sim"
"396","pl6","Não","Não","escurinhov","voador","corlinho","koR-'li-No","nao"
"397","pl7","Não","Não","escurinhov","voador","Peticorde","pe-ti-'koR-de","sim"
"398","pl8","Não","Não","escurinhov","voador","Troymonu","trojmo-'nu","nao"
"399","pl9","Não","Não","escurinhov","voador","Zigame","zi-'ga-me","sim"
"400","pl10","Não","Não","escurinhov","voador","Gigassaro","Zi-ga-'sa-ro","nao"
"401","pl11","Não","Não","escurinhov","voador","Farpick","faR-'pi-ki","nao"
"402","pl12","Não","Não","escurinhov","voador","Pinger","p~i-'ZeR","sim"
"403","pl13","Não","Não","escurinhov","voador","Vocisa","vo-'si-za","sim"
"404","pl14","Não","Não","escurinhov","voador","Kauane","kawa-ne","nao"
"405","pl15","Não","Não","escurinhov","voador","Rapina","ha-'pi-na","nao"
"406","pl16","Não","Não","escurinhov","voador","Pilim","pi-'l~i","sim"
"407","pl17","Não","Não","escurinhov","voador","Pernifar","peR-ni-'faR","sim"
"408","pl18","Não","Não","escurinhov","voador","Thiu","tiw","nao"
"409","pl19","Não","Não","escurinhov","voador","Dilu","di-'lu","sim"
"410","pl20","Não","Não","escurinhov","voador","Felo","fe-lo","sim"
"411","pl21","Não","Não","escurinhov","voador","Niquitri","ni-ki-'tri","sim"
"412","pl22","Não","Não","escurinhov","voador","Passonegro","pa-so-'ne-gro","nao"
"413","pl23","Não","Não","escurinhov","voador","Bepoûñah","be-'po-√ª√±a","nao"
"414","pl24","Não","Não","escurinhov","voador","Winelev","wi-ne-'le-v","nao"
"415","pl25","Não","Não","escurinhov","voador","piazia","pi-a-'zia","sim"
"416","pl26","Não","Não","escurinhov","voador","Sovim","so-'v~i","sim"
"417","pl1","Não","Não","cinzazinhov","voador","Ponkio","p~o-'kio","sim"
"418","pl2","Não","Não","cinzazinhov","voador","Fifi","fi-'fi","sim"
"419","pl3","Não","Não","cinzazinhov","voador","Palter","paw-'teR","sim"
"420","pl4","Não","Não","cinzazinhov","voador","pituvei","pi-tu-'vej","sim"
"421","pl5","Não","Não","cinzazinhov","voador","Sontêro","s~o-'te-ro","sim"
"422","pl6","Não","Não","cinzazinhov","voador","vemote","ve-'mo-te","sim"
"423","pl7","Não","Não","cinzazinhov","voador","Marited","ma-ri-'te-di","nao"
"424","pl8","Não","Não","cinzazinhov","voador","Huxer","u-'SeR","sim"
"425","pl9","Não","Não","cinzazinhov","voador","Cotufola","ko-tu-'fo-la","sim"
"426","pl10","Não","Não","cinzazinhov","voador","Gargavelho","gaR-ga-'ve-Lo","nao"
"427","pl11","Não","Não","cinzazinhov","voador","Angerfly","~a-'ZeR-fli","nao"
"428","pl12","Não","Não","cinzazinhov","voador","Redbrle","'he-di-bRle","nao"
"429","pl13","Não","Não","cinzazinhov","voador","Goritu","go-ri-'tu","sim"
"430","pl14","Não","Não","cinzazinhov","voador","Sanhaço","sa-'Na-so","sim"
"431","pl15","Não","Não","cinzazinhov","voador","Pinchu","p~i-'Su","sim"
"432","pl16","Não","Não","cinzazinhov","voador","Corim","ko-'r~i","sim"
"433","pl17","Não","Não","cinzazinhov","voador","Bulia","bu-'lia","sim"
"434","pl18","Não","Não","cinzazinhov","voador","Juru","Zu-'ru","sim"
"435","pl19","Não","Não","cinzazinhov","voador","Tressazo","tre-'sa-zo","sim"
"436","pl20","Não","Não","cinzazinhov","voador","Clowa","klo-wa","nao"
"437","pl21","Não","Não","cinzazinhov","voador","Plumim","plu-'m~i","sim"
"438","pl22","Não","Não","cinzazinhov","voador","Circopar","siR-ko-'paR","sim"
"439","pl23","Não","Não","cinzazinhov","voador","Gorjaham","goR-Za~a","nao"
"440","pl24","Não","Não","cinzazinhov","voador","Crutyc","kru-tic","nao"
"441","pl25","Não","Não","cinzazinhov","voador","esclote","es-'klo-te","sim"
"442","pl26","Não","Não","cinzazinhov","voador","Jutato","Zu-'ta-to","sim"
"443","pl1","Não","Não","tourinhonv","evil","Mulunco","mu-'l~u-ko","sim"
"444","pl2","Não","Não","tourinhonv","evil","Drau","draw","sim"
"445","pl3","Não","Não","tourinhonv","evil","Controgo","k~o-'tro-go","sim"
"446","pl4","Não","Não","tourinhonv","evil","bonare","bo-'na-re","sim"
"447","pl5","Não","Não","tourinhonv","evil","Fansso","f~a-so","sim"
"448","pl6","Não","Não","tourinhonv","evil","Caugaramon","kaw-ga-'ra-m~o","sim"
"449","pl7","Não","Não","tourinhonv","evil","Horetom","o-'re-t~o","sim"
"450","pl8","Não","Não","tourinhonv","evil","Toromon","to-'ro-m~o","nao"
"451","pl9","Não","Não","tourinhonv","evil","Utolune","u-to-'lu-ne","sim"
"452","pl10","Não","Não","tourinhonv","evil","Furiosotaurus","fu-ri-o-zo-taw-'rus","nao"
"453","pl11","Não","Não","tourinhonv","evil","Huntaur","~u-'tawR","sim"
"454","pl12","Não","Não","tourinhonv","evil","Tousben","tows-b~e","sim"
"455","pl13","Não","Não","tourinhonv","evil","Toripe","to-'ri-pe","sim"
"456","pl14","Não","Não","tourinhonv","evil","Baferoz","ba-fe-'ros","nao"
"457","pl15","Não","Não","tourinhonv","evil","Motoro","mo-'to-ro","sim"
"458","pl16","Não","Não","tourinhonv","evil","Toroma","to-'ro-ma","sim"
"459","pl17","Não","Não","tourinhonv","evil","Turefi","tu-re-'fi","sim"
"460","pl18","Não","Não","tourinhonv","evil","Hiu","iw","nao"
"461","pl19","Não","Não","tourinhonv","evil","Udugi","u-du-'Zi","sim"
"462","pl20","Não","Não","tourinhonv","evil","Kingza","k~i-za","nao"
"463","pl21","Não","Não","tourinhonv","evil","Traumôs","traw-'mos","sim"
"464","pl22","Não","Não","tourinhonv","evil","Fortoro","foR-'to-ro","sim"
"465","pl23","Não","Não","tourinhonv","evil","Bulritá","bu-lRi-'ta","nao"
"466","pl24","Não","Não","tourinhonv","evil","Oplument","o-plu-'m~e-ti","nao"
"467","pl25","Não","Não","tourinhonv","evil","vunlaris","v~u-la-'ris","sim"
"468","pl26","Não","Não","tourinhonv","evil","Pustamante","pus-ta-'m~a-te","sim"
"469","pl1","Não","Não","azulzinhov","voador","Sanisse","sa-'ni-se","sim"
"470","pl2","Não","Não","azulzinhov","voador","Farsil","faR-'siw","sim"
"471","pl3","Não","Não","azulzinhov","voador","Rizal","hi-'zaw","sim"
"472","pl4","Não","Não","azulzinhov","voador","gavitau","ga-vi-'taw","sim"
"473","pl5","Não","Não","azulzinhov","voador","Griar","gri-'aR","sim"
"474","pl6","Não","Não","azulzinhov","voador","larosse","la-'ro-se","sim"
"475","pl7","Não","Não","azulzinhov","voador","Zumberil","z~u-be-'riw","sim"
"476","pl8","Não","Não","azulzinhov","voador","Pinguimon","p~i-'gi-m~o","nao"
"477","pl9","Não","Não","azulzinhov","voador","Adrofinal","a-dro-fi-'naw","sim"
"478","pl10","Não","Não","azulzinhov","voador","Águiaguim Gelato","a-gi-a-g~i Ze-'la-to","nao"
"479","pl11","Não","Não","azulzinhov","voador","Pligen","pli-Z~e","sim"
"480","pl12","Não","Não","azulzinhov","voador","Zagury","za-'gu-ri","sim"
"481","pl13","Não","Não","azulzinhov","voador","Zezé","ze-'ze","nao"
"482","pl14","Não","Não","azulzinhov","voador","Galalau","ga-la-'law","nao"
"483","pl15","Não","Não","azulzinhov","voador","Carlocige","kaR-lo-'si-Ze","sim"
"484","pl16","Não","Não","azulzinhov","voador","Pinfoli","p~i-fo-'li","sim"
"485","pl17","Não","Não","azulzinhov","voador","Guacro","gwa-kro","sim"
"486","pl18","Não","Não","azulzinhov","voador","Ha","a","nao"
"487","pl19","Não","Não","azulzinhov","voador","Ojago","o-'Za-go","sim"
"488","pl20","Não","Não","azulzinhov","voador","Emper","~e-'peR","sim"
"489","pl21","Não","Não","azulzinhov","voador","Linguotim","l~i-gu-'ot~i","nao"
"490","pl22","Não","Não","azulzinhov","voador","Inverpinguim","~i-veR-p~i-'g~i","nao"
"491","pl23","Não","Não","azulzinhov","voador","Peanabá","pe-a-na-'ba","sim"
"492","pl24","Não","Não","azulzinhov","voador","Sniwn","sni-wn","nao"
"493","pl25","Não","Não","azulzinhov","voador","Dixtendil","dis-t~e-'diw","nao"
"494","pl26","Não","Não","azulzinhov","voador","Cormomo","koR-'mo-mo","sim"
"495","pl1","Não","Não","amarelinhov","voador","Sulo","su-lo","sim"
"496","pl2","Não","Não","amarelinhov","voador","Dodo","do-do","sim"
"497","pl3","Não","Não","amarelinhov","voador","Esma","es-ma","sim"
"498","pl4","Não","Não","amarelinhov","voador","patuve","pa-'tu-ve","sim"
"499","pl5","Não","Não","amarelinhov","voador","Rapito","ha-'pi-to","sim"
"500","pl6","Não","Não","amarelinhov","voador","trovalão","tro-va-'l~aw","nao"
"501","pl7","Não","Não","amarelinhov","voador","Sucareto","su-ka-'re-to","sim"
"502","pl8","Não","Não","amarelinhov","voador","Passmon","pa-sm~o","nao"
"503","pl9","Não","Não","amarelinhov","voador","Vofrena","vo-'fre-na","sim"
"504","pl10","Não","Não","amarelinhov","voador","Tripéssaroraio","tri-'pe-sa-ro-raj-o","nao"
"505","pl11","Não","Não","amarelinhov","voador","Elecbird","e-le-ki-'biR-di","nao"
"506","pl12","Não","Não","amarelinhov","voador","Blandyeloo","bl~a-die-'lo-o","nao"
"507","pl13","Não","Não","amarelinhov","voador","Pati","pa-'ti","sim"
"508","pl14","Não","Não","amarelinhov","voador","Gim","Z~i","nao"
"509","pl15","Não","Não","amarelinhov","voador","Solarari","so-la-ra-'ri","sim"
"510","pl16","Não","Não","amarelinhov","voador","Asavelt","a-za-'vew-ti","nao"
"511","pl17","Não","Não","amarelinhov","voador","Tilnas","tiw-nas","sim"
"512","pl18","Não","Não","amarelinhov","voador","Citru","si-'tru","sim"
"513","pl19","Não","Não","amarelinhov","voador","Nedebu","ne-de-'bu","sim"
"514","pl20","Não","Não","amarelinhov","voador","Zigzap","zi-gi-'za-pi","nao"
"515","pl21","Não","Não","amarelinhov","voador","Traquiti","tra-ki-'ti","sim"
"516","pl22","Não","Não","amarelinhov","voador","Choquetenso","So-ke-'t~e-so","nao"
"517","pl23","Não","Não","amarelinhov","voador","Tupanic","tu-pa-'ni-c","nao"
"518","pl24","Não","Não","amarelinhov","voador","Waultv","wa'ww-ti-v","nao"
"519","pl25","Não","Não","amarelinhov","voador","Avictri","a-vi-ki-'tri","nao"
"520","pl26","Não","Não","amarelinhov","voador","Bazca","bas-ka","sim"
"521","pl2.1","Não","Não","violetinhav","voador","Oldbat","ow-di-'ba-ti","nao"
"522","pl2.2","Não","Não","violetinhav","voador","Batman","'ba-ti-m~a","nao"
"523","pl2.3","Não","Não","violetinhav","voador","buubye","buu-bie","nao"
"524","pl2.4","Não","Não","violetinhav","voador","Bondumo","b~o-'du-mo","sim"
"525","pl2.5","Não","Não","violetinhav","voador","Anciobat","~a-si-o-'ba-ti","nao"
"526","pl2.6","Não","Não","violetinhav","voador","Mizuss","mi-'zu-s","nao"
"527","pl2.7","Não","Não","violetinhav","voador","Gorgoto","goR-'go-to","sim"
"528","pl2.8","Não","Não","violetinhav","voador","Homorcerio","o-moR-se-'rio","sim"
"529","pl2.9","Não","Não","violetinhav","voador","Bogodó","bo-go-'do","sim"
"530","pl2.10","Não","Não","violetinhav","voador","Oldbut","ow-di-'bu-ti","nao"
"531","pl2.11","Não","Não","violetinhav","voador","batpurple","ba-ti-'puR-ple","nao"
"532","pl2.12","Não","Não","violetinhav","voador","rotra","ho-tra","sim"
"533","pl2.13","Não","Não","violetinhav","voador","Mongo","m~o-go","nao"
"534","pl2.14","Não","Não","violetinhav","voador","Boblisky","bo-'blis-ki","nao"
"535","pl2.15","Não","Não","violetinhav","voador","Turbat","tuR-'ba-ti","nao"
"536","pl2.16","Não","Não","violetinhav","voador","Pinpon","p~i-p~o","sim"
"537","pl2.17","Não","Não","violetinhav","voador","bololon","bo-'lo-l~o","sim"
"538","pl2.18","Não","Não","violetinhav","voador","Polik","po-'li-ki","nao"
"539","pl2.19","Não","Não","violetinhav","voador","Butz","'bu-tis","nao"
"540","pl2.20","Não","Não","violetinhav","voador","Genbat","Z~e-'ba-ti","nao"
"541","pl2.21","Não","Não","violetinhav","voador","Belibeli","be-li-be-'li","sim"
"542","pl2.22","Não","Não","violetinhav","voador","Modaver","mo-da-'veR","sim"
"543","pl2.23","Não","Não","violetinhav","voador","Bôto","bo-to","sim"
"544","pl2.24","Não","Não","violetinhav","voador","MorceButton","moR-se-'bu-t~o","nao"
"545","pl2.25","Não","Não","violetinhav","voador","Cítro","si-tro","sim"
"546","pl2.26","Não","Não","violetinhav","voador","Jossor","Zo-'soR","sim"
"547","pl2.27","Não","Não","violetinhav","voador","Ovorcego","o-voR-'se-go","nao"
"548","pl2.28","Não","Não","violetinhav","voador","Moustaco","mows-'ta-ko","sim"
"549","pl2.29","Não","Não","violetinhav","voador","Mister Lau","mis-'teR 'law","nao"
"550","pl2.30","Não","Não","violetinhav","voador","Inberard","~i-be-'raR-di","nao"
"551","pl2.1","Não","Não","besourinhonv","evil","Beatles","be-'a-tles","nao"
"552","pl2.2","Não","Não","besourinhonv","evil","Ninja","n~i-Za","nao"
"553","pl2.3","Não","Não","besourinhonv","evil","rolabosta","ho-la-'bos-ta","nao"
"554","pl2.4","Não","Não","besourinhonv","evil","Tupial","tu-pi-'aw","sim"
"555","pl2.5","Não","Não","besourinhonv","evil","HidroJen","i-'dro-Z~e","nao"
"556","pl2.6","Não","Não","besourinhonv","evil","Rektuss","he-ki-'tu-s","nao"
"557","pl2.7","Não","Não","besourinhonv","evil","Tatura","ta-'tu-ra","sim"
"558","pl2.8","Não","Não","besourinhonv","evil","Cascovelo","kas-ko-'ve-lo","nao"
"559","pl2.9","Não","Não","besourinhonv","evil","Ruf","hu-fi","nao"
"560","pl2.10","Não","Não","besourinhonv","evil","Scracht","sra-St","nao"
"561","pl2.11","Não","Não","besourinhonv","evil","tatus","ta-'tus","nao"
"562","pl2.12","Não","Não","besourinhonv","evil","fetol","fe-'tow","sim"
"563","pl2.13","Não","Não","besourinhonv","evil","Bugario","bu-ga-'rio","nao"
"564","pl2.14","Não","Não","besourinhonv","evil","Thurd","tuR-di","nao"
"565","pl2.15","Não","Não","besourinhonv","evil","Kyobug","kio-'bu-gi","nao"
"566","pl2.16","Não","Não","besourinhonv","evil","Kuga","ku-ga","sim"
"567","pl2.17","Não","Não","besourinhonv","evil","tamandé","ta-m~a-'de","sim"
"568","pl2.18","Não","Não","besourinhonv","evil","Pocle","po-kle","sim"
"569","pl2.19","Não","Não","besourinhonv","evil","Turex","tu-reS","sim"
"570","pl2.20","Não","Não","besourinhonv","evil","Warbeetle","waR-be-'e-tle","nao"
"571","pl2.21","Não","Não","besourinhonv","evil","Fritz","f'ri-tis","nao"
"572","pl2.22","Não","Não","besourinhonv","evil","Tamoja","ta-'mo-Za","sim"
"573","pl2.23","Não","Não","besourinhonv","evil","Priu","priw","sim"
"574","pl2.24","Não","Não","besourinhonv","evil","Michelangelo","mi-Se-l~a-'Ze-lo","nao"
"575","pl2.25","Não","Não","besourinhonv","evil","Lórpi","loR-pi","sim"
"576","pl2.26","Não","Não","besourinhonv","evil","Atamolion","a-ta-mo-'li-~o","sim"
"577","pl2.27","Não","Não","besourinhonv","evil","Baracasca","ba-ra-'kas-ka","nao"
"578","pl2.28","Não","Não","besourinhonv","evil","Katastan","ka-'tas-t~a","sim"
"579","pl2.29","Não","Não","besourinhonv","evil","Arzekar","aR-ze-'kaR","sim"
"580","pl2.30","Não","Não","besourinhonv","evil","Boroboro","bo-ro-'bo-ro","sim"
"581","pl2.1","Não","Não","demoniozinhonv","evil","betraven","be-'tra-v~e","sim"
"582","pl2.2","Não","Não","demoniozinhonv","evil","Malevola","ma-le-'vo-la","nao"
"583","pl2.3","Não","Não","demoniozinhonv","evil","nights","ni-ghtis","nao"
"584","pl2.4","Não","Não","demoniozinhonv","evil","Nekis","ne-'kis","sim"
"585","pl2.5","Não","Não","demoniozinhonv","evil","Trevoli","tre-vo-'li","sim"
"586","pl2.6","Não","Não","demoniozinhonv","evil","Oxis","o-'Sis","sim"
"587","pl2.7","Não","Não","demoniozinhonv","evil","Sanderix","s~a-'de-riS","sim"
"588","pl2.8","Não","Não","demoniozinhonv","evil","Panguela","p~a-'ge-la","sim"
"589","pl2.9","Não","Não","demoniozinhonv","evil","Nigert","ni-'ZeR-ti","nao"
"590","pl2.10","Não","Não","demoniozinhonv","evil","Agileon","a-Zi-'le-~o","sim"
"591","pl2.11","Não","Não","demoniozinhonv","evil","blackcat","bla-ki-'ka-ti","nao"
"592","pl2.12","Não","Não","demoniozinhonv","evil","esgro","es-gro","sim"
"593","pl2.13","Não","Não","demoniozinhonv","evil","Valirion","va-li-'ri-~o","sim"
"594","pl2.14","Não","Não","demoniozinhonv","evil","Malthus","maw-'tus","nao"
"595","pl2.15","Não","Não","demoniozinhonv","evil","Darkin","daR-'k~i","nao"
"596","pl2.16","Não","Não","demoniozinhonv","evil","Esfety","es-'fe-ti","sim"
"597","pl2.17","Não","Não","demoniozinhonv","evil","brati","bra-'ti","sim"
"598","pl2.18","Não","Não","demoniozinhonv","evil","Betraven","be-'tra-v~e","sim"
"599","pl2.19","Não","Não","demoniozinhonv","evil","Mistery","mis-'te-ri","nao"
"600","pl2.20","Não","Não","demoniozinhonv","evil","Celeni","se-le-'ni","sim"
"601","pl2.21","Não","Não","demoniozinhonv","evil","Nebuloso","ne-bu-'lo-zo","nao"
"602","pl2.22","Não","Não","demoniozinhonv","evil","Gomago","go-'ma-go","sim"
"603","pl2.23","Não","Não","demoniozinhonv","evil","Catuí","ka-tu-'i","sim"
"604","pl2.24","Não","Não","demoniozinhonv","evil","Panter","p~a-'teR","nao"
"605","pl2.25","Não","Não","demoniozinhonv","evil","Gorvinx","goR-'v~i-S","sim"
"606","pl2.26","Não","Não","demoniozinhonv","evil","Endra","~e-dra","sim"
"607","pl2.27","Não","Não","demoniozinhonv","evil","Gapreto","ga-'pre-to","sim"
"608","pl2.28","Não","Não","demoniozinhonv","evil","Viporium","vi-po-ri-'~u","sim"
"609","pl2.29","Não","Não","demoniozinhonv","evil","Mombro","m~o-bro","sim"
"610","pl2.30","Não","Não","demoniozinhonv","evil","Sinakmir","si-na-ki-'miR","nao"
"611","pl2.1","Não","Não","longuinhov","voador","Garcion","gaR-'si-~o","nao"
"612","pl2.2","Não","Não","longuinhov","voador","Gaivota","gaj-'vo-ta","nao"
"613","pl2.3","Não","Não","longuinhov","voador","ararinha azul","a-ra-'ri-Na a-'zuw","nao"
"614","pl2.4","Não","Não","longuinhov","voador","Avaspi","a-vas-'pi","sim"
"615","pl2.5","Não","Não","longuinhov","voador","Flyter","fliteR","nao"
"616","pl2.6","Não","Não","longuinhov","voador","Pelixus","pe-li-'Sus","sim"
"617","pl2.7","Não","Não","longuinhov","voador","Taiter","taj-'teR","sim"
"618","pl2.8","Não","Não","longuinhov","voador","Poabe","po-'a-be","sim"
"619","pl2.9","Não","Não","longuinhov","voador","Pinceli","p~i-se-'li","sim"
"620","pl2.10","Não","Não","longuinhov","voador","Linterot","l~i-te-'ro-ti","nao"
"621","pl2.11","Não","Não","longuinhov","voador","passeribid","pa-se-ri-'bi-di","nao"
"622","pl2.12","Não","Não","longuinhov","voador","pital","pi-'taw","sim"
"623","pl2.13","Não","Não","longuinhov","voador","Avice","a-'vi-se","sim"
"624","pl2.14","Não","Não","longuinhov","voador","Blurys","blu-ris","nao"
"625","pl2.15","Não","Não","longuinhov","voador","Harish","a-'ri-S","nao"
"626","pl2.16","Não","Não","longuinhov","voador","Vupirayto","vu-'pi-rajto","sim"
"627","pl2.17","Não","Não","longuinhov","voador","avoar","a-vo-'aR","nao"
"628","pl2.18","Não","Não","longuinhov","voador","Pervo","peR-vo","sim"
"629","pl2.19","Não","Não","longuinhov","voador","Blue peace","blu-e pe-'a-se","nao"
"630","pl2.20","Não","Não","longuinhov","voador","Flaegon","fla-'e-g~o","sim"
"631","pl2.21","Não","Não","longuinhov","voador","Asarin","a-za-'r~i","nao"
"632","pl2.22","Não","Não","longuinhov","voador","Tutululu","tu-tu-lu-'lu","sim"
"633","pl2.23","Não","Não","longuinhov","voador","Poró","po-'ro","sim"
"634","pl2.24","Não","Não","longuinhov","voador","Garça marinha","gaR-sa ma-'ri-Na","nao"
"635","pl2.25","Não","Não","longuinhov","voador","Rodoflame","ho-do-'fla-me","nao"
"636","pl2.26","Não","Não","longuinhov","voador","Jetosor","Ze-to-'zoR","sim"
"637","pl2.27","Não","Não","longuinhov","voador","Azuave","a-zu-'a-ve","nao"
"638","pl2.28","Não","Não","longuinhov","voador","Bicunio","bi-ku-'nio","sim"
"639","pl2.29","Não","Não","longuinhov","voador","Splitegar","is-pli-te-'gaR","nao"
"640","pl2.30","Não","Não","longuinhov","voador","Piningo","pi-'n~i-go","sim"
"641","pl2.1","Não","Não","baleinhanv","evil","Rokar","ho-'kaR","sim"
"642","pl2.2","Não","Não","baleinhanv","evil","Pedra","pe-dra","nao"
"643","pl2.3","Não","Não","baleinhanv","evil","buraco de baleia","bu-'ra-ko de ba-'lej-a","nao"
"644","pl2.4","Não","Não","baleinhanv","evil","Banla","b~a-la","nao"
"645","pl2.5","Não","Não","baleinhanv","evil","Cractorse","kra-ki-'toR-se","sim"
"646","pl2.6","Não","Não","baleinhanv","evil","Shaz","Sas","sim"
"647","pl2.7","Não","Não","baleinhanv","evil","Baleistra","ba-'lejs-tra","nao"
"648","pl2.8","Não","Não","baleinhanv","evil","Kaleia","ka-'lej-a","nao"
"649","pl2.9","Não","Não","baleinhanv","evil","Corrin","ko-'h~i","sim"
"650","pl2.10","Não","Não","baleinhanv","evil","Wooahat","wo-o-'aa-ti","nao"
"651","pl2.11","Não","Não","baleinhanv","evil","dolphine","dow-'fi-ne","nao"
"652","pl2.12","Não","Não","baleinhanv","evil","bafio","ba-'fio","sim"
"653","pl2.13","Não","Não","baleinhanv","evil","Polos","po-los","sim"
"654","pl2.14","Não","Não","baleinhanv","evil","Rocpi","ho-ki-'pi","nao"
"655","pl2.15","Não","Não","baleinhanv","evil","Ocran","o-kr~a","sim"
"656","pl2.16","Não","Não","baleinhanv","evil","Cribelyta","kri-'be-lita","sim"
